Country/Area;Date;Visitor
Afghanistan;01.2017;233 
Afghanistan;02.2017;196 
Afghanistan;03.2017;192 
Afghanistan;04.2017;259 
Afghanistan;05.2017;228 
Afghanistan;06.2017;123 
Afghanistan;07.2017;287 
Afghanistan;08.2017;226 
Afghanistan;09.2017;419 
Afghanistan;10.2017;299 
Afghanistan;11.2017;219 
Afghanistan;12.2017;208 
Afghanistan;01.2018;307 
Afghanistan;02.2018;128 
Afghanistan;03.2018;237 
Afghanistan;04.2018;240 
Afghanistan;05.2018;212 
Afghanistan;06.2018;224 
Afghanistan;07.2018;296 
Afghanistan;08.2018;260 
Afghanistan;09.2018;393 
Afghanistan;10.2018;253 
Afghanistan;11.2018;267 
Afghanistan;12.2018;228 
Afghanistan;01.2019;263 
Afghanistan;02.2019;205 
Afghanistan;03.2019;245 
Afghanistan;04.2019;244 
Afghanistan;05.2019;172 
Afghanistan;06.2019;249 
Afghanistan;07.2019;191 
Afghanistan;08.2019;322 
Afghanistan;09.2019;414 
Afghanistan;10.2019;328 
Afghanistan;11.2019;232 
Afghanistan;12.2019;204 
Afghanistan;01.2020;270 
Afghanistan;02.2020;285 
Afghanistan;03.2020;175 
Afghanistan;04.2020;5 
Afghanistan;05.2020;0 
Afghanistan;06.2020;8 
Afghanistan;07.2020;37 
Afghanistan;08.2020;94 
Afghanistan;09.2020;75 
Afghanistan;10.2020;98 
Afghanistan;11.2020;174 
Afghanistan;12.2020;232 
Afghanistan;01.2021;132 
Afghanistan;02.2021;99 
Afghanistan;03.2021;94 
Afghanistan;04.2021;92 
Afghanistan;05.2021;121 
Afghanistan;06.2021;84 
Afghanistan;07.2021;91 
Afghanistan;08.2021;84 
Afghanistan;09.2021;99 
Afghanistan;10.2021;385 
Afghanistan;11.2021;256 
Afghanistan;12.2021;186 
Afghanistan;01.2022;103 
Afghanistan;02.2022;175 
Afghanistan;03.2022;253 
Afghanistan;04.2022;304 
Afghanistan;05.2022;301 
Afghanistan;06.2022;304 
Afghanistan;07.2022;236 
Afghanistan;08.2022;273 
Afghanistan;09.2022;428 
Afghanistan;10.2022;385 
Afghanistan;11.2022;215 
Afghanistan;12.2022;239 
Afghanistan;01.2023;264 
Afghanistan;02.2023;217 
Afghanistan;03.2023;204 
Afghanistan;04.2023;219 
Afghanistan;05.2023;238 
Afghanistan;06.2023;215 
Afghanistan;07.2023;0 
Afghanistan;08.2023;0 
Afghanistan;09.2023;0 
Afghanistan;10.2023;0 
Afghanistan;11.2023;0 
Afghanistan;12.2023;0 
Albania;01.2017;15 
Albania;02.2017;18 
Albania;03.2017;26 
Albania;04.2017;30 
Albania;05.2017;21 
Albania;06.2017;27 
Albania;07.2017;17 
Albania;08.2017;32 
Albania;09.2017;35 
Albania;10.2017;36 
Albania;11.2017;19 
Albania;12.2017;26 
Albania;01.2018;7 
Albania;02.2018;18 
Albania;03.2018;39 
Albania;04.2018;39 
Albania;05.2018;25 
Albania;06.2018;39 
Albania;07.2018;18 
Albania;08.2018;27 
Albania;09.2018;37 
Albania;10.2018;34 
Albania;11.2018;32 
Albania;12.2018;31 
Albania;01.2019;19 
Albania;02.2019;16 
Albania;03.2019;38 
Albania;04.2019;42 
Albania;05.2019;66 
Albania;06.2019;45 
Albania;07.2019;32 
Albania;08.2019;39 
Albania;09.2019;40 
Albania;10.2019;68 
Albania;11.2019;56 
Albania;12.2019;30 
Albania;01.2020;36 
Albania;02.2020;15 
Albania;03.2020;5 
Albania;04.2020;0 
Albania;05.2020;0 
Albania;06.2020;0 
Albania;07.2020;0 
Albania;08.2020;2 
Albania;09.2020;2 
Albania;10.2020;6 
Albania;11.2020;5 
Albania;12.2020;2 
Albania;01.2021;2 
Albania;02.2021;2 
Albania;03.2021;0 
Albania;04.2021;1 
Albania;05.2021;1 
Albania;06.2021;3 
Albania;07.2021;26 
Albania;08.2021;6 
Albania;09.2021;6 
Albania;10.2021;1 
Albania;11.2021;3 
Albania;12.2021;1 
Albania;01.2022;3 
Albania;02.2022;1 
Albania;03.2022;2 
Albania;04.2022;5 
Albania;05.2022;1 
Albania;06.2022;0 
Albania;07.2022;9 
Albania;08.2022;6 
Albania;09.2022;7 
Albania;10.2022;12 
Albania;11.2022;13 
Albania;12.2022;21 
Albania;01.2023;12 
Albania;02.2023;41 
Albania;03.2023;55 
Albania;04.2023;37 
Albania;05.2023;128 
Albania;06.2023;58 
Albania;07.2023;0 
Albania;08.2023;0 
Albania;09.2023;0 
Albania;10.2023;0 
Albania;11.2023;0 
Albania;12.2023;0 
Algeria;01.2017;74 
Algeria;02.2017;61 
Algeria;03.2017;63 
Algeria;04.2017;93 
Algeria;05.2017;65 
Algeria;06.2017;34 
Algeria;07.2017;92 
Algeria;08.2017;119 
Algeria;09.2017;124 
Algeria;10.2017;126 
Algeria;11.2017;82 
Algeria;12.2017;49 
Algeria;01.2018;64 
Algeria;02.2018;50 
Algeria;03.2018;70 
Algeria;04.2018;111 
Algeria;05.2018;59 
Algeria;06.2018;69 
Algeria;07.2018;92 
Algeria;08.2018;80 
Algeria;09.2018;67 
Algeria;10.2018;122 
Algeria;11.2018;91 
Algeria;12.2018;64 
Algeria;01.2019;51 
Algeria;02.2019;42 
Algeria;03.2019;71 
Algeria;04.2019;106 
Algeria;05.2019;57 
Algeria;06.2019;80 
Algeria;07.2019;107 
Algeria;08.2019;194 
Algeria;09.2019;84 
Algeria;10.2019;71 
Algeria;11.2019;95 
Algeria;12.2019;71 
Algeria;01.2020;68 
Algeria;02.2020;38 
Algeria;03.2020;11 
Algeria;04.2020;0 
Algeria;05.2020;0 
Algeria;06.2020;0 
Algeria;07.2020;0 
Algeria;08.2020;1 
Algeria;09.2020;5 
Algeria;10.2020;1 
Algeria;11.2020;4 
Algeria;12.2020;2 
Algeria;01.2021;2 
Algeria;02.2021;0 
Algeria;03.2021;1 
Algeria;04.2021;0 
Algeria;05.2021;1 
Algeria;06.2021;5 
Algeria;07.2021;101 
Algeria;08.2021;110 
Algeria;09.2021;3 
Algeria;10.2021;9 
Algeria;11.2021;2 
Algeria;12.2021;7 
Algeria;01.2022;4 
Algeria;02.2022;4 
Algeria;03.2022;15 
Algeria;04.2022;11 
Algeria;05.2022;17 
Algeria;06.2022;11 
Algeria;07.2022;17 
Algeria;08.2022;19 
Algeria;09.2022;28 
Algeria;10.2022;46 
Algeria;11.2022;37 
Algeria;12.2022;37 
Algeria;01.2023;59 
Algeria;02.2023;53 
Algeria;03.2023;51 
Algeria;04.2023;60 
Algeria;05.2023;74 
Algeria;06.2023;81 
Algeria;07.2023;0 
Algeria;08.2023;0 
Algeria;09.2023;0 
Algeria;10.2023;0 
Algeria;11.2023;0 
Algeria;12.2023;0 
Andorra;01.2017;5 
Andorra;02.2017;2 
Andorra;03.2017;6 
Andorra;04.2017;45 
Andorra;05.2017;10 
Andorra;06.2017;7 
Andorra;07.2017;18 
Andorra;08.2017;28 
Andorra;09.2017;11 
Andorra;10.2017;31 
Andorra;11.2017;13 
Andorra;12.2017;21 
Andorra;01.2018;3 
Andorra;02.2018;9 
Andorra;03.2018;12 
Andorra;04.2018;16 
Andorra;05.2018;28 
Andorra;06.2018;14 
Andorra;07.2018;15 
Andorra;08.2018;51 
Andorra;09.2018;24 
Andorra;10.2018;20 
Andorra;11.2018;7 
Andorra;12.2018;16 
Andorra;01.2019;4 
Andorra;02.2019;11 
Andorra;03.2019;5 
Andorra;04.2019;35 
Andorra;05.2019;35 
Andorra;06.2019;15 
Andorra;07.2019;13 
Andorra;08.2019;28 
Andorra;09.2019;18 
Andorra;10.2019;26 
Andorra;11.2019;26 
Andorra;12.2019;19 
Andorra;01.2020;9 
Andorra;02.2020;5 
Andorra;03.2020;3 
Andorra;04.2020;0 
Andorra;05.2020;0 
Andorra;06.2020;0 
Andorra;07.2020;0 
Andorra;08.2020;0 
Andorra;09.2020;0 
Andorra;10.2020;0 
Andorra;11.2020;0 
Andorra;12.2020;0 
Andorra;01.2021;0 
Andorra;02.2021;0 
Andorra;03.2021;0 
Andorra;04.2021;0 
Andorra;05.2021;0 
Andorra;06.2021;0 
Andorra;07.2021;9 
Andorra;08.2021;0 
Andorra;09.2021;0 
Andorra;10.2021;0 
Andorra;11.2021;0 
Andorra;12.2021;0 
Andorra;01.2022;1 
Andorra;02.2022;0 
Andorra;03.2022;0 
Andorra;04.2022;0 
Andorra;05.2022;0 
Andorra;06.2022;0 
Andorra;07.2022;2 
Andorra;08.2022;1 
Andorra;09.2022;1 
Andorra;10.2022;3 
Andorra;11.2022;2 
Andorra;12.2022;4 
Andorra;01.2023;15 
Andorra;02.2023;12 
Andorra;03.2023;20 
Andorra;04.2023;20 
Andorra;05.2023;6 
Andorra;06.2023;20 
Andorra;07.2023;0 
Andorra;08.2023;0 
Andorra;09.2023;0 
Andorra;10.2023;0 
Andorra;11.2023;0 
Andorra;12.2023;0 
Angola;01.2017;17 
Angola;02.2017;7 
Angola;03.2017;10 
Angola;04.2017;11 
Angola;05.2017;14 
Angola;06.2017;9 
Angola;07.2017;21 
Angola;08.2017;31 
Angola;09.2017;32 
Angola;10.2017;20 
Angola;11.2017;19 
Angola;12.2017;13 
Angola;01.2018;22 
Angola;02.2018;2 
Angola;03.2018;9 
Angola;04.2018;6 
Angola;05.2018;19 
Angola;06.2018;11 
Angola;07.2018;10 
Angola;08.2018;22 
Angola;09.2018;19 
Angola;10.2018;36 
Angola;11.2018;20 
Angola;12.2018;24 
Angola;01.2019;30 
Angola;02.2019;8 
Angola;03.2019;5 
Angola;04.2019;20 
Angola;05.2019;14 
Angola;06.2019;17 
Angola;07.2019;31 
Angola;08.2019;160 
Angola;09.2019;26 
Angola;10.2019;39 
Angola;11.2019;31 
Angola;12.2019;7 
Angola;01.2020;24 
Angola;02.2020;6 
Angola;03.2020;0 
Angola;04.2020;0 
Angola;05.2020;0 
Angola;06.2020;0 
Angola;07.2020;0 
Angola;08.2020;1 
Angola;09.2020;0 
Angola;10.2020;0 
Angola;11.2020;2 
Angola;12.2020;2 
Angola;01.2021;0 
Angola;02.2021;4 
Angola;03.2021;1 
Angola;04.2021;3 
Angola;05.2021;0 
Angola;06.2021;0 
Angola;07.2021;43 
Angola;08.2021;7 
Angola;09.2021;3 
Angola;10.2021;5 
Angola;11.2021;2 
Angola;12.2021;3 
Angola;01.2022;9 
Angola;02.2022;1 
Angola;03.2022;3 
Angola;04.2022;1 
Angola;05.2022;16 
Angola;06.2022;3 
Angola;07.2022;3 
Angola;08.2022;11 
Angola;09.2022;8 
Angola;10.2022;8 
Angola;11.2022;1 
Angola;12.2022;6 
Angola;01.2023;21 
Angola;02.2023;21 
Angola;03.2023;171 
Angola;04.2023;6 
Angola;05.2023;10 
Angola;06.2023;29 
Angola;07.2023;0 
Angola;08.2023;0 
Angola;09.2023;0 
Angola;10.2023;0 
Angola;11.2023;0 
Angola;12.2023;0 
Antigua and Barbuda;01.2017;6 
Antigua and Barbuda;02.2017;6 
Antigua and Barbuda;03.2017;0 
Antigua and Barbuda;04.2017;2 
Antigua and Barbuda;05.2017;4 
Antigua and Barbuda;06.2017;3 
Antigua and Barbuda;07.2017;3 
Antigua and Barbuda;08.2017;4 
Antigua and Barbuda;09.2017;0 
Antigua and Barbuda;10.2017;7 
Antigua and Barbuda;11.2017;3 
Antigua and Barbuda;12.2017;5 
Antigua and Barbuda;01.2018;7 
Antigua and Barbuda;02.2018;4 
Antigua and Barbuda;03.2018;7 
Antigua and Barbuda;04.2018;5 
Antigua and Barbuda;05.2018;5 
Antigua and Barbuda;06.2018;11 
Antigua and Barbuda;07.2018;4 
Antigua and Barbuda;08.2018;2 
Antigua and Barbuda;09.2018;6 
Antigua and Barbuda;10.2018;7 
Antigua and Barbuda;11.2018;12 
Antigua and Barbuda;12.2018;5 
Antigua and Barbuda;01.2019;7 
Antigua and Barbuda;02.2019;5 
Antigua and Barbuda;03.2019;6 
Antigua and Barbuda;04.2019;4 
Antigua and Barbuda;05.2019;3 
Antigua and Barbuda;06.2019;4 
Antigua and Barbuda;07.2019;6 
Antigua and Barbuda;08.2019;7 
Antigua and Barbuda;09.2019;6 
Antigua and Barbuda;10.2019;9 
Antigua and Barbuda;11.2019;7 
Antigua and Barbuda;12.2019;6 
Antigua and Barbuda;01.2020;8 
Antigua and Barbuda;02.2020;2 
Antigua and Barbuda;03.2020;1 
Antigua and Barbuda;04.2020;0 
Antigua and Barbuda;05.2020;0 
Antigua and Barbuda;06.2020;0 
Antigua and Barbuda;07.2020;0 
Antigua and Barbuda;08.2020;0 
Antigua and Barbuda;09.2020;0 
Antigua and Barbuda;10.2020;0 
Antigua and Barbuda;11.2020;0 
Antigua and Barbuda;12.2020;0 
Antigua and Barbuda;01.2021;0 
Antigua and Barbuda;02.2021;0 
Antigua and Barbuda;03.2021;0 
